relation	concept	argument	metadata
location	printer	laptop	 on the :59.0	1
location	printer	box	 in the :93.0	1
location	pumpkin	apple	 at the :69.0	1
location	purse	couch	 on the :68.0	1
location	purse	car	 in the :575.0	1
location	purse	door	 on the :100.0	1
location	rabbit	dog	 at the :143.0	1
location	rabbit	box	 in the :55.0	1
location	rabbit	bottle	 on the :44.0	1
location	radiator	car	 in a :77.0	1
location	radiator	bathroom	 in the :91.0	1
location	railing	wheel	 near the :50.0	1
location	range	car	 in the :300.0	1
location	range	motorcycle	 on a :62.0	1
location	rubber	frame	 on a :62.0	1
location	rubber	door	 around the :45.0	1
location	rubber	shoe	 over the :42.0	1
location	sack	cart	 in the :49.0	1
location	sack	dog	 over the :74.0	1
location	safe	microwave	 in the :773.0	1
location	screwdriver	door	 on the :60.0	1
location	seal	top	 on the :103.0	1
location	seal	person	 by the :74.0	1
location	sheep	wheel	 at the :881.0	1
location	sheep	jeep	 in a :234.0	1
location	shoe	door	 in the :65.0	1
location	shoe	box	 in the :104.0	1
location	shoebox	dumpster	 in the :50.0	1
location	spinach	bowl	 in a :552.0	1
location	spinach	microwave	 in the :56.0	1
location	stethoscope	car	 on the :174.0	1
location	storage area	toaster	 underneath the :43.0	1
location	stove	dishwasher	 in the :544.0	1
location	strainer	bowl	 over a :134.0	1
location	sunglasses	car	 in the :182.0	1
location	tabby	wheel	 through a :76.0	1
location	table	envelope	 on the :56.0	1
location	table	bottle	 in a :459.0	1
location	table	frame	 in the :52.0	1
location	table	train	 in a :55.0	1
location	table	car	 in the :81.0	1
location	table	cart	 in a :68.0	1
location	tank	bow	 in the :42.0	1
location	tank	car	 in the :102.0	1
location	tank	box	 at the :56.0	1
location	tank	airplane	 in a :55.0	1
location	tick	box	 in the :7097.0	1
location	tiger	tank	 in the :157.0	1
location	top	tank	 on a :49.0	1
location	top	bumper	 in the :69.0	1
location	top	pineapple	 in a :141.0	1
location	top	car	 on the :76.0	1
location	toy	bowl	 in the :52.0	1
location	toy	sofa	 on the :208.0	1
location	toy	couch	 on the :640.0	1
location	train	door	 outside the :51.0	1
location	train	limited	 in a :177.0	1
location	triangle	box	 in the :48.0	1
location	vacuum	envelope	 inside the :62.0	1
location	vacuum	bulb	 in the :40.0	1
location	van	car	 in the :54.0	1
location	washer	screw	 on the :49.0	1
location	wheel	cart	 on a :114.0	1
location	wheel	frame	 in the :78.0	1
location	wheel	flag	 on the :44.0	1
location	windshield	wiper	 under the :109.0	1
location	wing	door	 in the :106.0	1
location	wing	bird	 on the :91.0	1
comparative	rabbit	are much smaller than	small	size	bear	37
comparative	motorcycle	are smaller than	small	size	car	18
comparative	shoe	are way cooler than	cool	temperature	basketball	14
comparative	tangerine	are smaller than	small	size	orange	14
comparative	scooter	are smaller than	small	size	motorcycle	13
comparative	liger	are larger than	large	size	tiger	11
comparative	bird	are much smaller than	small	size	fox	11
comparative	train	are so much heavier than	heavy	weight	car	10
comparative	motorcycle	are much smaller than	small	size	car	10
comparative	screw	are stronger than	strong	strength	nail	9
comparative	motorcycle	are cooler than	cool	temperature	car	8
comparative	orange	are tastier than	tasty	taste property	apple	7
comparative	bicycle	are lighter than	light	weight	car	7
comparative	person	are stronger than	strong	strength	contact	6
comparative	zebra	is larger than	large	size	buffalo	5
comparative	van	are heavier than	heavy	weight	car	5
comparative	mouse	are much smaller than	small	size	hamster	5
comparative	plantain	are larger than	large	size	banana	5
comparative	train	are much larger than	large	size	airplane	5
comparative	zebra	are noticeably smaller than	small	size	horse	5
comparative	accordion	are cooler than	cool	temperature	guitar	4
comparative	sheep	are smaller than	small	size	cattle	4
comparative	elephant	are larger than	large	size	mouse	4
comparative	bicycle	are smaller than	small	size	car	4
comparative	car	are slightly larger than	large	size	matchbox	4
comparative	whale	are still heavier than	heavy	weight	ant	4
comparative	cistern	are generally larger than	large	size	rain barrel	4
comparative	plantain	are generally larger than	large	size	banana	4
comparative	unicycle	are lighter than	light	weight	bicycle	4
comparative	baseball	was quite small even smaller than	small	size	basketball	3
comparative	orange	are sweeter than	sweet	taste property	apple	3
comparative	van	are larger than	large	size	car	3
comparative	car	are greener than	green	color	motorcycle	3
comparative	bicycle	are much much cooler than	cool	temperature	car	3
comparative	scooter	are so much smaller than	small	size	car	3
comparative	motorcycle	are lighter than	light	weight	car	3
comparative	horse	are greener than	green	color	bicycle	3
comparative	fox	are larger than	large	size	domestic cat	3
comparative	train	are way cooler than	cool	temperature	bus	3
comparative	bicycle	are physically smaller than	small	size	car	3
comparative	monkey	are stronger than	strong	strength	lion	3
comparative	bulb	are stronger than	strong	strength	ordinary	3
comparative	apple	are larger than	large	size	orange	3
comparative	motorcycle	are obviously smaller than	small	size	car	3
comparative	toaster oven	are larger than	large	size	toaster	3
comparative	lion	are smaller than	small	size	tiger	3
comparative	snake	is more spherical than	spherical	shape	bird	3
comparative	latch	are smaller than	small	size	lock	2
comparative	box	are lighter than	light	weight	bottle	2
comparative	train	are cooler than	cool	temperature	car	2
comparative	car	is smaller than	small	size	bus	2
comparative	cistern	are substantially larger than	large	size	rain barrel	2
comparative	bus	is stronger than	strong	strength	car	2
comparative	screw	are much stronger than	strong	strength	wheel	2
comparative	horse	can be three times larger than	large	size	dog	2
comparative	apple	are much tastier than	tasty	taste property	orange	2
comparative	train	are more rugged than	rugged	strength	bus	2
comparative	pumpkin	might be a little less smooth than	smooth	tactile property	butternut	2
comparative	tiger	runs so much smoother than	smooth	tactile property	panther	2
comparative	car	were greener than	green	color	train	2
comparative	plantain	are slightly larger than	large	size	banana	2
comparative	electric car	tend to be much less noisy than	noisy	sound	car	2
comparative	baseball	is more structured than	structured	structure	basketball	2
comparative	strawberry	are sweeter than	sweet	taste property	banana	2
comparative	box	are much lighter than	light	weight	bottle	2
comparative	motorcycle	are considerably smaller than	small	size	car	2
comparative	apple	is more delicious than	delicious	taste property	orange	2
comparative	tiger	are so much cooler than	cool	temperature	buffalo	2
comparative	lion	are less green than	green	color	antelope	2
comparative	liger	grow much larger than	large	size	lion	2
comparative	tangerine	are generally smaller than	small	size	orange	2
comparative	zebra	are somewhat smaller than	small	size	horse	2
comparative	motorcycle	can be lighter than	light	weight	car	2
comparative	bus	are significantly heavier than	heavy	weight	car	2
comparative	tiger	are genetically larger than	large	size	lion	2
comparative	bird	can not be smaller than	small	size	bee	2
comparative	butterfly	are larger than	large	size	bird	2
comparative	safe	are much heavier than	heavy	weight	refrigerator	2
comparative	box	are much stronger than	strong	strength	envelope	2
comparative	bus	are greener than	green	color	car	2
comparative	plantain	are also larger than	large	size	banana	2
comparative	sheep	are also much smaller than	small	size	cattle	2
comparative	plantain	are often larger than	large	size	banana	2
comparative	train	were greener than	green	color	car	2
comparative	zucchini	are smaller than	small	size	cucumber	1
comparative	liger	are so much larger than	large	size	lion	1
comparative	dog	are thoroughly more black than	black	color	pack	1
comparative	motorcycle	are so much lighter than	light	weight	car	1
comparative	motorcycle	are just cooler than	cool	temperature	car	1
