relation	concept	argument	metadata
comparative	bear	prove stronger than	strong	strength	dog	1
comparative	screw	will be stronger than	strong	strength	nail	1
comparative	horse	are smaller than	small	size	mouse	1
comparative	dog	are typically larger than	large	size	bird	1
comparative	guitar	was way cooler than	cool	temperature	french horn	1
comparative	snake	are cooler than	cool	temperature	elephant	1
comparative	fox	is so much smaller than	small	size	bear	1
comparative	bus	are smaller than	small	size	train	1
comparative	harp	are much heavier than	heavy	weight	piano	1
comparative	tiger	are stronger than	strong	strength	lion	1
comparative	bird	are smaller than	small	size	dog	1
comparative	apple	are more tasty than	tasty	taste property	banana	1
comparative	guitar	was cooler than	cool	temperature	piano	1
comparative	bus	may be noisier than	noisy	sound	car	1
comparative	banana	are sweeter than	sweet	taste property	plantain	1
comparative	windshield	are larger than	large	size	rearview mirror	1
comparative	bird	be smaller than	small	size	bee	1
comparative	horse	do have a more delicate system than	delicate	strength	cattle	1
comparative	horse	got no larger than	large	size	sheep	1
comparative	baseball	were much smaller than	small	size	basketball	1
comparative	guitar	might be cooler than	cool	temperature	trumpet	1
comparative	lion	are smaller than	small	size	elephant	1
comparative	tangerine	were less delicious than	delicious	taste property	clementine	1
comparative	tiger	are larger than	large	size	lion	1
comparative	train	must be greener than	green	color	car	1
comparative	printer	is more broad than	broad	size	laser printer	1
comparative	car	are heavier than	heavy	weight	motorcycle	1
comparative	bus	are greener than	green	color	train	1
comparative	apple	are more red than	red	color	orange	1
comparative	pumpkin	are a lot heavier than	heavy	weight	cucumber	1
comparative	van	are generally larger than	large	size	car	1
comparative	banjo	are cooler than	cool	temperature	guitar	1
comparative	motorcycle	are much cooler than	cool	temperature	car	1
comparative	cistern	are typically much larger than	large	size	rain barrel	1
comparative	parsnip	can grow much larger than	large	size	carrot	1
comparative	strainer	should not be larger than	large	size	pinhead	1
comparative	bicycle	are a lot smaller than	small	size	car	1
comparative	orange	are sweeter than	sweet	taste property	lemon	1
comparative	bus	are much larger than	large	size	car	1
comparative	motorcycle	are larger than	large	size	bicycle	1
comparative	wine bottle	are heavier than	heavy	weight	beer can	1
comparative	dog	would be larger than	large	size	car	1
comparative	orange	is lighter than	light	weight	blue	1
comparative	apple	are heavier than	heavy	weight	orange	1
comparative	zebra	are many times stronger than	strong	strength	horse	1
comparative	motorcycle	are far cooler than	cool	temperature	scooter	1
comparative	guitar	was way cooler than	cool	temperature	banjo	1
comparative	bicycle	are obviously a lot smaller than	small	size	car	1
property	adobe	tactile property	smooth	1116	2gms,	1	1
property	alp	tactile property	smooth	53	2gms,	1	1
property	apple	tactile property	smooth	402	2gms,	0.584302	1
property	apron	tactile property	coarse	600	2gms,web1t,	0.808625	2
property	apron	tactile property	smooth	59	2gms,	0.0795148	1
property	armoire	tactile property	plushy	1	web1t,	1	1
property	backpack	tactile property	plushy	4	web1t,	0.0289855	1
property	golf ball	tactile property	smooth	87	3gms,	0.00604629	1
property	bath	tactile property	coarse	158	2gms,	0.155206	1
property	bath	tactile property	plushy	2	web1t,	0.00196464	1
property	bath	tactile property	smooth	180	2gms,web1t,	0.176817	2
property	bathroom	tactile property	smooth	59	2gms,	8.73763e-05	1
property	bathroom	tactile property	smooth	59	2gms,	1	1
property	beanbag	tactile property	plushy	1	web1t,	1	1
property	bench	tactile property	smooth	163	2gms,web1t,	0.455307	2
property	bevel	tactile property	smooth	164	2gms,	1	1
property	bicycle	tactile property	smooth	267	2gms,	1	1
property	blue	tactile property	smooth	1	web1t,	1	1
property	bottle	tactile property	plushy	1	web1t,	1.31586e-06	1
property	bottle	tactile property	coarse	64	2gms,	0.0752941	1
property	bottle	tactile property	plushy	1	web1t,	0.00117647	1
property	bottle	tactile property	smooth	215	2gms,	0.252941	1
property	bowl	tactile property	coarse	53	2gms,	0.0368311	1
property	bowl	tactile property	smooth	792	2gms,web1t,	0.550382	2
property	bow	tactile property	smooth	330	2gms,	1	1
property	box	tactile property	coarse	127	2gms,	0.0307506	1
property	box	tactile property	plushy	1	web1t,	0.000242131	1
property	box	tactile property	smooth	768	2gms,web1t,	0.185956	2
property	gear box	tactile property	smooth	2	web1t,	0.000484261	1
property	brake	tactile property	coarse	1	nounAndItsGloss,	0.00252525	1
property	brake	tactile property	smooth	273	2gms,web1t,	0.689394	2
property	brassiere	tactile property	smooth	8	web1t,	1	1
property	brass	tactile property	smooth	1170	2gms,	0.683811	1
property	bulb	tactile property	lumpy	2	web1t,	3.18953e-06	1
property	bulb	tactile property	smooth	44	2gms,	1	1
property	bullet	tactile property	plushy	1	web1t,	1.45014e-06	1
property	bullet	tactile property	plushy	1	web1t,	0.000986193	1
property	bullet	tactile property	smooth	900	2gms,web1t,	0.887574	2
property	bumper	tactile property	smooth	519	2gms,web1t,	0.303154	2
property	burrito	tactile property	smooth	41	2gms,web1t,	1	2
property	bus	tactile property	smooth	729	2gms,	0.000354164	1
property	bus	tactile property	smooth	729	2gms,	0.713307	1
property	camcorder	tactile property	smooth	2	web1t,	1	1
property	canopy	tactile property	coarse	274	2gms,	0.678218	1
property	canopy	tactile property	smooth	51	2gms,	0.126238	1
property	capsule	tactile property	smooth	212	2gms,	0.806084	1
property	car	tactile property	plushy	3	web1t,	0.00188917	1
property	car	tactile property	slippery	1	web1t,	0.000629723	1
property	car	tactile property	smooth	1212	2gms,web1t,	0.763224	2
property	cart	tactile property	smooth	44	2gms,	0.282051	1
property	gear case	tactile property	smooth	2	web1t,	0.000383142	1
property	cast	tactile property	smooth	1871	2gms,	0.0013441	1
property	cast	tactile property	smooth	1871	2gms,	0.534419	1
property	castor	tactile property	smooth	142	2gms,web1t,	0.648402	2
property	chain	tactile property	plushy	3	web1t,	0.00097561	1
property	chain	tactile property	smooth	813	2gms,web1t,	0.26439	2
property	chair	tactile property	plushy	11	web1t,	3.80005e-06	1
property	chair	tactile property	plushy	11	web1t,	0.0536585	1
property	chair	tactile property	smooth	55	2gms,web1t,	0.268293	2
property	chassis	tactile property	smooth	44	2gms,	1	1
property	cheesecloth	tactile property	coarse	109	2gms,nounAndItsGloss,	1	2
property	cloak	tactile property	coarse	247	2gms,	0.111765	1
property	cloak	tactile property	smooth	1963	2gms,	0.888235	1
property	clutch	tactile property	slippery	1	web1t,	6.51721e-05	1
property	clutch	tactile property	slippery	1	web1t,	0.00105932	1
property	clutch	tactile property	smooth	746	2gms,web1t,	0.790254	2
property	laptop computer	tactile property	smooth	1	web1t,	1.74998e-07	1
property	laptop computer	tactile property	smooth	1	web1t,	1.74998e-07	1
property	laptop computer	tactile property	smooth	1	web1t,	0.00304878	1
property	condominium	tactile property	plushy	1	web1t,	1	1
property	couch	tactile property	plushy	4	web1t,	3.91619e-05	1
property	couch	tactile property	plushy	4	web1t,	1	1
property	cove	tactile property	smooth	109	2gms,	0.000276016	1
property	cove	tactile property	smooth	109	2gms,	1	1
property	cream	tactile property	plushy	1	web1t,	8.53242e-05	1
property	cream	tactile property	smooth	7939	2gms,web1t,	0.677389	2
property	cylinder	tactile property	coarse	2	web1t,	0.00117371	1
property	cylinder	tactile property	smooth	1414	2gms,	0.829812	1
property	diaper	tactile property	coarse	280	2gms,	0.816327	1
property	door	tactile property	smooth	1282	2gms,web1t,	0.311241	2
property	drum	tactile property	coarse	193	2gms,	0.0288318	1
property	drum	tactile property	smooth	6433	2gms,	0.96101	1
property	duffel	tactile property	coarse	1	nounAndItsGloss,	0.5	1
property	duffel	tactile property	smooth	1	web1t,	0.5	1
property	duffle	tactile property	coarse	1	nounAndItsGloss,	1	1
property	dumbbell	tactile property	smooth	59	2gms,web1t,	1	2
property	empty	tactile property	coarse	43	2gms,	0.208738	1
property	empty	tactile property	smooth	163	2gms,	0.791262	1
property	enamel	tactile property	smooth	448	2gms,web1t,nounAndItsGloss,	0.349182	3
property	envelope	tactile property	coarse	72	2gms,	0.0504555	1
property	envelope	tactile property	smooth	735	2gms,	0.515067	1
property	exhaust	tactile property	smooth	407	2gms,web1t,	1	2
property	express	tactile property	smooth	514	2gms,	0.714882	1
property	felt	tactile property	coarse	113	2gms,	0.00456234	1
property	felt	tactile property	smooth	457	2gms,	0.0184512	1
property	filament	tactile property	coarse	50	2gms,	0.0180701	1
property	filament	tactile property	smooth	418	2gms,	0.151066	1
property	flag	tactile property	smooth	217	2gms,	0.494305	1
property	flute	tactile property	smooth	148	2gms,	0.356627	1
property	frame	tactile property	plushy	4	web1t,	1.0698e-06	1
property	framing	tactile property	coarse	103	2gms,	0.0176279	1
property	frame	tactile property	plushy	4	web1t,	0.00068458	1
property	frame	tactile property	smooth	4796	2gms,web1t,	0.820811	2
property	framing	tactile property	smooth	328	2gms,	0.0561355	1
property	fret	tactile property	smooth	258	2gms,web1t,	1	2
property	gearbox	tactile property	smooth	185	2gms,web1t,	1	2
property	grater	tactile property	coarse	4344	2gms,web1t,	0.962553	2
property	grille	tactile property	coarse	1	web1t,	0.02	1
property	grille	tactile property	smooth	1	web1t,	0.02	1
property	guacamole	tactile property	smooth	75	2gms,	1	1
property	guitar	tactile property	glassy	1	web1t,	0.000205086	1
property	guitar	tactile property	smooth	2769	2gms,web1t,	0.567883	2
property	hammer	tactile property	smooth	177	2gms,	0.386463	1
property	hammock	tactile property	smooth	1	web1t,	0.00101833	1
property	handlebar	tactile property	smooth	57	2gms,	1	1
property	headpiece	tactile property	plushy	3	web1t,	1	1
property	helmet	tactile property	smooth	208	2gms,	0.0981132	1
property	hold	tactile property	smooth	307	2gms,web1t,	1	2
property	honeycomb	tactile property	coarse	51	2gms,	0.428571	1
property	hook	tactile property	coarse	133	2gms,	0.158711	1
property	hook	tactile property	smooth	354	2gms,	0.422434	1
property	horn	tactile property	smooth	708	2gms,web1t,	0.896203	2
property	computer keyboard	tactile property	slippery	2	web1t,	0.00280899	1
property	lamp	tactile property	plushy	1	web1t,	7.21045e-07	1
property	lamp	tactile property	plushy	1	web1t,	0.00487805	1
property	laptop	tactile property	smooth	1	web1t,	1	1
property	lemon	tactile property	smooth	239	2gms,	1	1
property	contact lens	tactile property	smooth	55	3gms,	0.0782361	1
property	lipstick	tactile property	smooth	2385	2gms,web1t,	0.819588	2
property	lobster	tactile property	smooth	83	2gms,web1t,	1	2
property	local	tactile property	coarse	175	2gms,	0.0756266	1
property	local	tactile property	smooth	1871	2gms,	0.808557	1
property	lock	tactile property	coarse	797	2gms,	0.59037	1
property	lock	tactile property	smooth	420	2gms,web1t,	0.311111	2
property	mailbox	tactile property	smooth	1	web1t,	1	1
property	mauser	tactile property	smooth	74	2gms,	1	1
property	miniskirt	tactile property	plushy	1	web1t,	1	1
property	mosaic	tactile property	coarse	152	2gms,	0.180095	1
property	mosaic	tactile property	smooth	55	2gms,	0.0651659	1
property	motorcycle	tactile property	smooth	43	2gms,	1	1
property	mouthpiece	tactile property	smooth	153	2gms,	0.075	1
property	muffler	tactile property	smooth	1	web1t,	1	1
property	nail	tactile property	smooth	2486	2gms,web1t,	0.78497	2
property	orange	tactile property	smooth	4	web1t,jjnnInGloss,	0.0754717	2
property	otter	tactile property	smooth	518	2gms,	0.69344	1
property	pacemaker	tactile property	smooth	1	web1t,	1	1
property	pack	tactile property	coarse	98	2gms,	0.075969	1
property	pack	tactile property	smooth	295	2gms,web1t,	0.228682	2
property	pallet	tactile property	smooth	60	2gms,	1	1
property	pecan	tactile property	smooth	1	nounAndItsGloss,	1	1
property	perfume	tactile property	plushy	1	web1t,	1	1
property	piano	tactile property	smooth	1	web1t,	1	1
property	pin	tactile property	coarse	102	2gms,	0.087931	1
property	pin	tactile property	smooth	413	2gms,	0.356034	1
property	piston	tactile property	smooth	246	2gms,	0.806557	1
property	pizza	tactile property	plushy	1	web1t,	1	1
property	plaque	tactile property	smooth	105	2gms,	1	1
property	plug	tactile property	smooth	392	2gms,web1t,	0.266304	2
property	portfolio	tactile property	smooth	74	2gms,web1t,	1	2
property	mashed potato	tactile property	smooth	351	3gms,	0.284211	1
property	face powder	tactile property	smooth	88	3gms,	0.0241559	1
property	purse	tactile property	plushy	47	2gms,web1t,	0.000163552	2
property	purse	tactile property	plushy	47	2gms,web1t,	0.309211	2
property	purse	tactile property	smooth	1	web1t,	0.00657895	1
property	quill	tactile property	smooth	135	2gms,	1	1
property	railing	tactile property	smooth	57	2gms,	0.0584615	1
property	range	tactile property	coarse	515	2gms,	0.144785	1
property	range	tactile property	smooth	1150	2gms,web1t,	0.323306	2
property	ray	tactile property	smooth	1125	2gms,	0.905068	1
property	rosette	tactile property	smooth	698	2gms,	1	1
property	roundel	tactile property	smooth	145	2gms,	1	1
property	rubber	tactile property	plushy	1	web1t,	9.03871e-07	1
property	rubber	tactile property	coarse	139	2gms,	0.0261573	1
property	rubber	tactile property	plushy	1	web1t,	0.000188182	1
property	rubber	tactile property	slippery	1	web1t,	0.000188182	1
property	rubber	tactile property	smooth	4549	2gms,web1t,	0.856041	2
property	sack	tactile property	coarse	131	2gms,	0.201229	1
property	sack	tactile property	smooth	190	2gms,web1t,	0.291859	2
property	safe	tactile property	smooth	409	2gms,web1t,	0.000690973	2
property	safe	tactile property	smooth	409	2gms,web1t,	1	2
property	sax	tactile property	smooth	6441	2gms,	0.894335	1
property	saxophone	tactile property	smooth	414	2gms,	0.68543	1
property	scoop	tactile property	smooth	48	2gms,	0.238806	1
property	seal	tactile property	coarse	58	2gms,	0.0973154	1
property	seal	tactile property	slippery	1	web1t,	0.00167785	1
property	seal	tactile property	smooth	309	2gms,web1t,	0.518456	2
property	shoe	tactile property	coarse	563	2gms,web1t,	0.203469	2
property	shoe	tactile property	smooth	934	2gms,web1t,	0.33755	2
property	ski	tactile property	smooth	123	2gms,web1t,	1	2
property	slipcover	tactile property	plushy	1	web1t,	0.00170068	1
property	sofa	tactile property	plushy	8	web1t,	1.75672e-05	1
property	sofa	tactile property	plushy	8	web1t,	0.112676	1
property	spatula	tactile property	smooth	56	2gms,	1	1
property	spindle	tactile property	smooth	90	2gms,web1t,	0.552147	2
property	stove	tactile property	smooth	97	2gms,	1	1
property	stoneware	tactile property	coarse	52	2gms,	0.553191	1
